######################################
# Bloody Rally Show translations file 
# Locale: Chinese [partial GOOGLE TRANSLATED]
# Author: Cn123
# Contact: 王炸 / tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
char.brace.job,多样性副总裁
char.brace.job_short,多样性副总裁

char.nic.name,Nicholas Merryland
char.nic.job,节目导演
char.nic.job_short,导向器

char.anon.name,匿名赛车手
char.anon.job,赛车手
char.anon.job_short,赛车手

# Generic Terms (keep short)

term.car,车
term.track,赛道
term.lap,圈数
term.lap_percent,圈数%
term.laps,圈数
# Abbreviate to max 5 characters, or keep "Best"
term.best,最好
# Max 10 characters
term.best_lap,最佳圈速
# As in person name
term.name,名称
term.human,人的
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,仿制
term.week,周
term.stage,阶段
term.season,季节
term.special,特别
term.pending,待定
term.points,点数
term.drifts,漂流
term.mode,模式
term.battle,战斗
term.car_battle,汽车战
term.time_attack,时间攻击
term.race,种族
term.time_limit,限期
term.time_scale,时标
term.distance,距离
term.weapons,武器装备
term.time,时间
term.mission,任务
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,参赛费
term.retry_fee,重试
term.generating,产生
term.available,可用的
term.locked,已锁定
term.owned,拥有的
term.lost,丢失
# This has to be super short!
term.lvl_to_go,{0}级
term.required_level,所需水平
# Short for Points (max 3 chars or keep "pts")
term.pts,点数
term.cash,现金
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,经验
# Short for position. Keep "Pos" if you can't find a good alternative
