######################################
# Bloody Rally Show translations file 
# Locale: Dutch
# Translator: Danny Houtworm
# Contact: Translations@Houtworm.net
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicolas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Bert Bruut
char.brace.job,Vice President van Diversiteit
char.brace.job_short,VP Diversiteit

char.nic.name,Nicolas Mooiland
char.nic.job,Directeur van Bloody Rally Show
char.nic.job_short,Directeur

char.anon.name,Anonieme Racer
char.anon.job,Racer
char.anon.job_short,Racer

# Generic Terms (keep short)

term.car,Auto
term.track,Circuit
term.lap,Ronde
term.lap_percent,Ronde%
term.laps,Rondes
# Abbreviate to max 5 characters, or keep "Best"
term.best,Beste
# Max 10 characters
term.best_lap,Topronde
# As in person name
term.name,Naam
term.human,Mens
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,Week
term.stage,Stage
term.season,Seizoen
term.special,Speciaal
term.pending,Wachtend
term.points,Punten
term.drifts,Drifts
term.mode,Modus
term.battle,Gevecjt
term.car_battle,Auto Gevecht
term.time_attack,Tijdsaanval
term.race,Race
term.time_limit,Tijdslimiet
term.time_scale,Tijdschaal
term.distance,Afstand
term.weapons,Wapens
term.time,Tijd
term.mission,Missie
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee" ///I can remove the kosten suffix if needed, I don't have an image in my head, But I think it will fit.
term.entry_fee,Toegangskosten
term.retry_fee,Herstartkosten
term.generating,Genereren
term.available,Beschikbaar
term.locked,Op slot
term.owned,In bezit
term.lost,Verloren
# This has to be super short!
term.lvl_to_go,{0} Lvl rest
term.required_level,Niveau
# Short for Points (max 3 chars or keep "pts")
term.pts,ptn
term.cash,Geld
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
term.pos,Pos
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,Doden
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Frags
term.damage,Schade
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,dmg
term.racer,Racer
term.ped,Voetganger
term.he,hij
term.she,zij
term.mr,Hr.
# Ms is between Miss and Mrs 
term.ms,Mv.
term.resurrect,Herrijs
term.progress,Vooruitgang
term.attempt,Poging
term.tips,Hints
term.difficulty,Moeilijkheidsgraad

# Generic buttons (keep short)

btn.back,Terug
btn.continue,Bevestig
btn.apply,Pas toe
btn.close,Sluit
btn.refresh,Verniew
btn.random,Willekeurig
btn.randomize,Willekeurig maken
btn.main_menu,Hoofd Menu
btn.save,Opslaan
btn.cancel,Annuleer
btn.delete,Verwijder
btn.edit,Pas aan
btn.garage,Garage
btn.generate,Genereer
btn.regenerate,Hergenereer
btn.buy,Koop
btn.select,Selecteer
btn.paint,Lak
btn.switch,Schakel
btn.confirm,Bevestig
btn.change,Wissel
btn.skip,Sla over
btn.next_page,Volgende
btn.prev_page,Vorige
btn.disable_tips,Schakel hints uit

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,Aan
btn.off,Uit
btn.yes,Ja
btn.no,Nee
btn.ok,Oke
btn.all,Alle

# Main Menu 

main_menu.btn.campaign,Campagne
main_menu.btn.custom_race,Aangepaste Race
main_menu.btn.editors_mods,Editors & Mods
main_menu.btn.daily_challenge,Dag Uitdaging
main_menu.btn.leaderboards,Ranglijsten
main_menu.btn.achievements,Prestaties
main_menu.btn.settings,Instellingen
main_menu.btn.about,Over BRS
main_menu.btn.quit,Afsluiten
main_menu.label.whats_new,Nieuws

# Main Menu => Campaign

campaign.btn.continue,Ga verder
campaign.btn.new,Nieuw
campaign.btn.load,Laden
campaign.saves,Saves
campaign.no_saves,Geen Saves
campaign.btn.tips,Hints
campaign.dialogue.cannot_continue,Je kan niet verder in deze Campagne, Deze is beeindigd.

campaign.difficulty,Moeilijkheidsgraad
campaign.difficulty.easy,Makkelijk
campaign.difficulty.normal,Normaal
campaign.difficulty.hard,Moeilijk
campaign.difficulty.hardcore,Hardcore
campaign.difficulty.locked.tip,Benodigd Niveau: {0}
campaign.difficulty.dialogue.locked,De moeilijkheidsgraad die je hebt gekozen staat nog op slot, haal racer niveau {0} in een andere moeilijkheidsgraad om hem vrij te spelen.

campaign.name,Naam Campagne

campaign.missions_challenges,Missies & Uitdagingen
campaign.missions_challenges.tip, Sommige evenementen zullen random missies of uitdagingen hebben.
campaign.races_with_weapons,Evenementen met wapens
campaign.races_with_weapons.tip,Sommige evenementen zullen wapens en andere powerups gebruikt kunnen worden.
campaign.directors_car,Directeur
campaign.directors_car.tip,De Directeur Nicolas doet mee om wat chaos te veroorzaken, Maakt het spel moeilijker.
campaign.helicopter_weapons,Helikopterwapens 
campaign.helicopter_weapons.tip,Bert zijn helikopter heeft soms wapens en jaagt op de deelnemers met zijn helikopter, Maakt het spel moeilijker.
campaign.adaptive_ai,Adaptieve AI
campaign.adaptive_ai.tip,AI Racers presteren beter of slechter afhankelijk van jouw prestaties.
campaign.weekly_rebalance,Wekelijkse Herbalans
campaign.weekly_rebalance.tip,Elke week krijgen de AI racers extra XP en geld om mee te komen, Maakt het spel moeilijker.
campaign.custom_content,Aangepaste Autos en Circuits
campaign.custom_content.tip,Maakt het mogelijk om met je zelfgemaakte autos te racen en op je zelfgemaakte circuits te rijden.
campaign.workshop_content,Workshop Autos en Circuits
campaign.workshop_content.tip,Voegt geabboneerde Steam Workshop Autos en Circuits toe.
campaign.allow_heavy_tracks,Sta veeleisende circuits toe
campaign.allow_heavy_tracks.tip,Voegt eigen en Workshop circuits toe met een hoge object dichthoud, Dit kan slechte invloed hebben op je prestaties.

campaign.btn.start_new,Start Niewe Campagne

# Main Menu => Custom Race

custom_race.btn.continue_session,Ga verder
custom_race.btn.new_session,Nieuwe sessie
custom_race.btn.random_time_attack,Snelle Tijdsaanval
custom_race.btn.random_race,Snelle Race
custom_race.btn.random_battle,Snel Gevecht

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,Circuit Editor
editors_mods.btn.car_editor,Auto Editor
editors_mods.btn.mod_manager,Mods Beheren

# Main Menu => Mod Manager

mods.section.tracks,Geabboneerde Circuits
mods.section.cars,Geabboneerde Autos
mods.btn.open_workshop,Blader Workshop
mods.btn.manage_tracks,Circuits
mods.btn.manage_cars,Autos
mods.btn.reload,Herlaad Mods
mods.btn.unsubscribe.tip,Verwijder
mods.btn.view_online.tip,Bekijk Online

# Leaderboards

leaderboard.time_attack.title,Tijdsaanval<br>Ranglijst
leaderboard.type,Ranglijst Type
leaderboard.type.friends,Vrienden
leaderboard.type.global,Globaal
leaderboard.top100,Top 100
leaderboard.daily_challenge,Dag Uitdaging<br>Ranglijst
leaderboard.daily_challenge.time_out,Time out!
leaderboard.daily_challenge.lap_attempts,Ronde Pogingen
leaderboard.daily_challenge.ends_in,Eindigt in
leaderboard.daily_challenge.grace_period,Gratie Periode
leaderboard.daily_challenge.ended_minutes_ago, Einde {0:0} Minuten Geleden
leaderboard.daily_challenge.ended_hours_ago, Einde {0:0} Uren Geleden
leaderboard.daily_challenge.ended_days_ago, Einde {0:0} Dagen Geleden
leaderboard.day,Dag
leaderboard.btn.race_now,Race Nu
leaderboard.btn.race_now.tip,Race om een tijd neer te zetten op de geselecteerde track met de geselecteerde auto.
leaderboard.no_score.race_now,Je hebt nog geen tijd op dit circuit. Race nu om een tijd neer te zetten!
leaderboard.no_steam_connection,Steam verbinding is niet beschikbaar<br><br>Ranglijsten zullen niet werken.
leaderboard.btn.time_attack,Tijdsaanval
leaderboard.time_attack.tip,Circuit Ronde tijd ranglijsten. Speel Aangepaste Race met Tijdsaanval om een tijd neer te zetten.
leaderboard.refresh.tip,Herlaad de ranglijsten direct van Steam.

# Leaderboard Names

leaderboard.max_season,Hoogste Seizoen
leaderboard.max_racer_level,Hoogste Racer Niveau
leaderboard.people_hit,Mensen Geraakt
leaderboard.km_driven,KM Gereden
leaderboard.cash_earned,Geld Verdient
leaderboard.xp_gained,XP Behaald
leaderboard.podium_finishes,Podium Plaatsing
leaderboard.podium_gold,Podium Goud
leaderboard.seasons_won,Seizoenen Gewonnen
leaderboard.cars_fragged,Autos uitgeschakeld
leaderboard.tracks_created,Circuits Gemaakt
leaderboard.longest_jump,Verste Sprong
leaderboard.meters_jumped,Meters Gesprongen
leaderboard.seconds_drifted,Secondes Gedrift

# Settings 

# DO NOT TRANSLATE THIS ONE! JUST COPY IT BUT KEEP ENGLISH!
settings.btn.language,Language

settings.btn.video,Beeld
settings.btn.visuals,Effecten
settings.btn.gameplay,Spel
settings.btn.audio,Geluid
settings.btn.input,Invoer
settings.btn.reset,Resetten

# Settings -> Video

settings.video.quality_warning,Deze grafische instellingen zijn misschien not optimaal voor jouw computer.
settings.video.resolution_warning,Deze resolutie is misschien niet optimaal voor jouw computer.
settings.video.vsync_tip,Als je beeld stottert kan je proberen om Vsync uit te zetten en een FPS limiet in te stellen.
settings.video.quality,Kwaliteit
settings.video.quality.performance,Prestaties
settings.video.quality.quality,Kwaliteit
settings.video.resolution,Resolutie
settings.video.window_mode,Beeldmodus
settings.video.window_mode.full_screen_exclusive,Volledig Scherm (Exclusief)
settings.video.window_mode.full_screen_window,Volledig Scherm (Venster)
settings.video.window_mode.windowed,Venster
# Don't translate this one, just copy
settings.video.vsync,VSync
settings.video.vsync.off,Uit
settings.video.vsync.on,Aan (Elk Frame)
settings.video.vsync.on_every_2,Aan (Elk 2de Frame)
settings.video.fps_limit,FPS Limiet
settings.video.particle_density,Dichtheid Deeltjes
settings.video.particle_density_tip,Past de dichtheid van rook en stof aan.
settings.video.btn.set_optimal,Stel Optimale waardes in
