######################################
# Bloody Rally Show translations file 
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
char.brace.job,Vice President of Diversity
char.brace.job_short,VP of Diversity

char.nic.name,Nicholas Merryland
char.nic.job,Director of Bloody Rally Show
char.nic.job_short,Director

char.anon.name,Anonymous Racer
char.anon.job,Racer
char.anon.job_short,Racer

# Generic Terms (keep short)

term.car,Car
term.track,Track
term.lap,Lap
term.lap_percent,Lap%
term.laps,Laps
# Abbreviate to max 5 characters, or keep "Best"
term.best,Best
# Max 10 characters
term.best_lap,Best Lap
# As in person name
term.name,Name
term.human,Human
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,Week
term.stage,Stage
term.season,Season
term.special,Special
term.pending,Pending
term.points,Points
term.drifts,Drifts
term.mode,Mode
term.battle,Battle
term.car_battle,Car Battle
term.time_attack,Time Attack
term.race,Race
term.time_limit,Time Limit
term.time_scale,Time Scale
term.distance,Distance
term.weapons,Weapons
term.time,Time
term.mission,Mission
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,Entry Fee
term.retry_fee,Retry Fee
term.generating,Generating
term.available,Available
term.locked,Locked
term.owned,Owned
term.lost,Lost
# This has to be super short!
term.lvl_to_go,{0} Lvl to go
term.required_level,Req Lvl
# Short for Points (max 3 chars or keep "pts")
term.pts,pts
term.cash,Cash
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
