######################################
# Bloody Rally Show translations file 
# Locale: French
# Author: Twolinks
# Contact: 
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
char.brace.job,Vice President de Diversity
char.brace.job_short,Vice président de Diversity

char.nic.name,Nicholas Merryland
char.nic.job,Directeur de Bloody Rally Show
char.nic.job_short,Directeur

char.anon.name,Pilote anonyme
char.anon.job,Pilote
char.anon.job_short,Pilote

# Generic Terms (keep short)

term.car,Auto
term.track,Circuit
term.lap,Tour
term.lap_percent,Tour%
term.laps,Tours
# Abbreviate to max 5 characters, or keep "Best"
term.best,Best
# Max 10 characters
term.best_lap,Meil. Tour
# As in person name
term.name,Nom
term.human,Humain
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,IA
term.week,Semaine
term.stage,Etape
term.season,Saison
term.special,Special
term.pending,En attente
term.points,Points
term.drifts,Drifts
term.mode,Mode
term.battle,Combat
term.car_battle,Combat d'auto
term.time_attack,Contre la montre
term.race,Course
term.time_limit,Temps limite
term.time_scale,Echelle de temps
term.distance,Distance
term.weapons,Armes
term.time,Temps
term.mission,Mission
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,Prix entrée
term.retry_fee,Nouvel essai
term.generating,Creation
term.available,Disponible
term.locked,Bloqué
term.owned,Possédé
term.lost,Perdu
# This has to be super short!
term.lvl_to_go,{0} Level en +
term.required_level,Level requis
# Short for Points (max 3 chars or keep "pts")
term.pts,pts
term.cash,Cash
