######################################
# Bloody Rally Show translations file 
# Locale: Lithuanian
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland 
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
char.brace.job,Lygių Teisių Kontrolierius
char.brace.job_short,Lygių Teisių Kontrolierius

char.nic.name,Nicholas Merryland
char.nic.job,Bloody Rally Show Direktorius
char.nic.job_short,Direktorius

char.anon.name,Nežinomas Lenktynininkas
char.anon.job,Lenktyninkas
char.anon.job_short,Lenktynininkas

# Generic Terms (keep short)

term.car,Mašina
term.track,Trasa
term.lap,Ratas
term.lap_percent,Rato%
term.laps,Ratai
# Abbreviate to max 5 characters, or keep "Best"
term.best,Ger
# Max 10 characters
term.best_lap,Ger. Ratas
# As in person name
term.name,Vardas
term.human,Žmogus
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,Savaitė
term.stage,Etapas
term.season,Sezonas
term.special,Specialus
term.pending,Laukia
term.points,Taškai
term.drifts,Driftai
term.mode,Režimas
term.battle,Kova
term.car_battle,Mašinų Kova
term.time_attack,Laiko Ataka
term.race,Lenktynės
term.time_limit,Laiko Limitas
term.time_scale,Laiko Greitis
term.distance,Atstumas
term.weapons,Ginklai
term.time,Laikas
term.mission,Misija
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,Mokestis
term.retry_fee,Mokestis
term.generating,Generuojama
term.available,Prieinamas
term.locked,Užrakintas
term.owned,Turimas
term.lost,Prarastas
# This has to be super short!
term.lvl_to_go,Liko {0} Lyg
term.required_level,Reik Lyg
# Short for Points (max 3 chars or keep "pts")
term.pts,tšk
term.cash,Pinigai
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
term.pos,Poz
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,Nužud.
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Fragai
term.damage,Žala
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,Žala
term.racer,Lenktynininkas
term.ped,Pėstysis
term.he,jis
term.she,ji
term.mr,Ponas
# Ms is between Miss and Mrs 
term.ms,Ponia
term.resurrect,Atgaivinti
term.progress,Progresas
term.attempt,Bandymas
term.tips,Patarimai
term.difficulty,Sunkumas

# Generic buttons

btn.back,Atgal
btn.continue,Tęsti
btn.apply,Taikyti
btn.close,Uždaryti
btn.refresh,Naujinti
btn.random,Atsitiktinis
btn.randomize,Atsitiktinis
btn.main_menu,Pagr. Meniu
btn.save,Išsaugoti
btn.cancel,Atsisakyti
btn.delete,Ištrinti
btn.edit,Redaguoti
btn.garage,Garažas
btn.generate,Generuoti
btn.regenerate,Pergeneruoti
btn.buy,Pirkti
btn.select,Rinktis
btn.paint,Dažyti
btn.switch,Perjungti
btn.confirm,Patvirtinti
btn.change,Pakeisti
btn.skip,Praleisti
btn.disable_tips,Išjungti Patarimus
btn.next_page,Toliau
btn.prev_page,Atgal

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,Taip
btn.off,Ne
btn.yes,Taip
btn.no,Ne
btn.ok,OK
btn.all,Visi

# Main Menu 

main_menu.btn.campaign,Kampanija
main_menu.btn.custom_race,Lenktynės
main_menu.btn.editors_mods,Redaktoriai ir Modai
main_menu.btn.daily_challenge,Dienos Lenktynės
main_menu.btn.leaderboards,Topai
main_menu.btn.achievements,Pasiekimai
main_menu.btn.settings,Nustatymai
main_menu.btn.about,Apie
main_menu.btn.quit,Išeiti
main_menu.label.whats_new,Kas Naujo

# Main Menu => Campaign

campaign.btn.continue,Tęsti
campaign.btn.new,Nauja
campaign.btn.load,Užkrauti
campaign.btn.tips,Patarimai
campaign.saves,Seivai
campaign.no_saves,Nėra Seivų
campaign.dialogue.cannot_continue,Negali tęsti šios kampanijos, ji jau baigta!

campaign.difficulty,Sunkumas
campaign.difficulty.easy,Lengvas
campaign.difficulty.normal,Vidutiniškas
campaign.difficulty.hard,Sunkus
campaign.difficulty.hardcore,Neįmanomas
campaign.difficulty.locked.tip,Reikalingas lenktynininko lygis: {0}
campaign.difficulty.dialogue.locked,The level of difficulty you have selected is locked. Reach racer level {0} in easier difficulty to unlock it.

campaign.name,Kampanijos Pavadinimas

campaign.missions_challenges,Misijos ir Užduotys
campaign.missions_challenges.tip,Kai kurie etapai turės papildomas užduotis
campaign.races_with_weapons,Lenktynės su Ginklais
campaign.races_with_weapons.tip,Kai kuriose trasose bus ginklus išduodančios zonos
campaign.directors_car,Direktoriaus Automobilis
campaign.directors_car.tip,Direktorius Nicholas vairuos savo limuziną ir trukdys visiems gyventi. Padidintas sunkumas.
campaign.helicopter_weapons,Sraigtasparnio Ginklai
campaign.helicopter_weapons.tip,Brace'o sraigtasparnis kartais turės ginklą ir šaudys lenktynininkus. Padidintas sunkumas.
campaign.adaptive_ai,Adaptyvus AI
campaign.adaptive_ai.tip,AI lenktynininkai su laiku taps stipresni arba silpnesni, priklausomai nuo to, kaip tau sekasi
