######################################
# Bloody Rally Show translations file
# Locale: English
# Author: Tomas Varaneckas
# Contact: tomas@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Brace Stone
char.brace.job,Vice-Presidente de Diversidade
char.brace.job_short,VP de Diversidade

char.nic.name,Nicholas Merryland
char.nic.job,Diretor Bloody Rally Show
char.nic.job_short,Diretor

char.anon.name,Corredor Anônimo
char.anon.job,Corredor
char.anon.job_short,Corredor

# Generic Terms (keep short)

term.car,Carro
term.track,Track
term.lap,Colo
term.lap_percent,Colo%
term.laps,Criança
# Abbreviate to max 5 characters, or keep "Best"
term.best,Melhor
# Max 10 characters
term.best_lap,Melhor volta
# As in person name
term.name,Nome
term.human,Humano
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,Semana
term.stage,Etapa
term.season,Estação
term.special,Especial
term.pending,Pendente
term.points,Pontos
term.drifts,Desvios
term.mode,Modo
term.battle,Batalha
term.car_battle,Batalha de carros
term.time_attack,Time Attack
term.race,Corrida
term.time_limit,Limite de tempo
term.time_scale,Escala de tempo
term.distance,Distância
term.weapons,Armas
term.time,Tempo
term.mission,Missão
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,Taxa de Entrada
term.retry_fee,Taxa de Repetição
term.generating,Gerando
term.available,acessível
term.locked,Bloqueado
term.owned,Possuído
term.lost,Perdido
# This has to be super short!
term.lvl_to_go,{0}
term.required_level,Req Nvl
# Short for Points (max 3 chars or keep "pts")
term.pts,pts
term.cash,Dinheiro
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
term.pos,Postar
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,Mortes
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Frags
term.damage,Dano
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,Dmg
term.racer,Corredor
term.ped,Pedestre
term.he,ele
term.she,ela
term.mr,senhor.
# Ms is between Miss and Mrs
term.ms,senhora.
term.resurrect,Ressuscitar
term.progress,Progresso
term.attempt,Tentativa
term.tips,Dicas
term.difficulty,Dificuldade

# Generic buttons (keep short)

btn.back,De volta
btn.continue,Continuar
btn.apply,Aplicar
btn.close,Fechar
btn.refresh,Atualizar
btn.random,Aleatória
btn.randomize,Aleatória
btn.main_menu,Menu principal
btn.save,Salve 
btn.cancel,Cancelar
btn.delete,Excluir
btn.edit,Editar
btn.garage,Garagem
btn.generate,Gerar
btn.regenerate,Regenerado
btn.buy,Comprar
btn.select,Selecione
btn.paint,Pintura
btn.switch,Interruptor
btn.confirm,confirme
btn.change,mudança
btn.skip,Pular
btn.next_page,Próxima página
btn.prev_page,Página anterior
btn.disable_tips,Desativar dicas

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,Em
btn.off,Fora
btn.yes,sim
btn.no,Não
btn.ok,Está bem
btn.all,Todos

# Main Menu

main_menu.btn.campaign,Campanha
main_menu.btn.custom_race,Corrida Personalizada
main_menu.btn.editors_mods,Editores e Mods
main_menu.btn.daily_challenge,Desafio diário
main_menu.btn.leaderboards,Classificação
main_menu.btn.achievements,Conquistas
main_menu.btn.settings,Definições
main_menu.btn.about,Sobre
main_menu.btn.quit,Sair
main_menu.label.whats_new,O que há de novo

# Main Menu => Campaign

campaign.btn.continue,Continuar
campaign.btn.new,Novo
campaign.btn.load,Carga
campaign.saves,Economizar
campaign.no_saves,Não salva
campaign.btn.tips,Dicas
campaign.dialogue.cannot_continue,Você não pode continuar esta campanha, ela já está concluída!

campaign.difficulty,Dificuldade
campaign.difficulty.easy,Fácil
campaign.difficulty.normal,Normal
campaign.difficulty.hard,Difícil
campaign.difficulty.hardcore,Hardcore
campaign.difficulty.locked.tip,Nível de piloto necessário: {0}
campaign.difficulty.dialogue.locked,O nível de dificuldade que você selecionou está bloqueado. Atinja o nível do piloto {0} com mais facilidade para desbloqueá-lo.

campaign.name,Nome da campanha

campaign.missions_challenges,Missões e Desafios
campaign.missions_challenges.tip,Algumas etapas teriam missões ou desafios aleatórios
campaign.races_with_weapons,Corridas Com Armas
campaign.races_with_weapons.tip,Algumas pistas de corrida terão zonas que haverão armas ou upgrades
campaign.directors_car,Carro do diretor
campaign.directors_car.tip,O diretor Nicholas estaria dirigindo em sua limusine, causando caos. Adiciona dificuldade.
campaign.helicopter_weapons,Armas de helicóptero
campaign.helicopter_weapons.tip,O helicóptero de Brace às vezes tem armas e atira em pilotos. Adiciona dificuldade.
campaign.adaptive_ai,IA adaptativa
campaign.adaptive_ai.tip,Os Corredores da IA melhorariam ou piorariam com o tempo, dependendo de como você está indo
campaign.weekly_rebalance,Rebalanceamento semanal
campaign.weekly_rebalance.tip,Uma vez por semana, os pilotos de IA podem obter XP e Cash extras. Adiciona dificuldade.
campaign.custom_content,Faixas e carros personalizados
campaign.custom_content.tip,Incluirá faixas e carros construídos por você
campaign.workshop_content,Faixas de oficina e carros
campaign.workshop_content.tip,Inclua faixas e carros que você assinou no Steam Workshop
campaign.allow_heavy_tracks,Permitir trilhas com objetos pesados
campaign.allow_heavy_tracks.tip,Inclua faixas personalizadas / de oficina com alta densidade de objetos que possam afetar negativamente o desempenho

campaign.btn.start_new,Iniciar nova campanha

# Main Menu => Custom Race

custom_race.btn.continue_session,Continuar sessão
custom_race.btn.new_session,Nova Sessão
custom_race.btn.random_time_attack,Tempo de ataque rápido
custom_race.btn.random_race,Corrida Rápida
custom_race.btn.random_battle,Batalha Rápida

# Main Menu => Editors & Mods

editors_mods.btn.track_editor,Editor de Pistas
editors_mods.btn.car_editor,Editor de Carro
editors_mods.btn.mod_manager,Gerenciador de Mods

# Main Menu => Mod Manager

mods.section.tracks,Faixas inscritas
mods.section.cars,Carros Inscritos
mods.btn.open_workshop,Procurar na oficina
mods.btn.manage_tracks,Faixas
mods.btn.manage_cars,Carros
mods.btn.reload,Recarregar Mods
mods.btn.unsubscribe.tip,Retirar
mods.btn.view_online.tip,Ver online

# Leaderboards

leaderboard.time_attack.title,Time Attack <br> Entre os melhores
leaderboard.type,Tipo de Cabeçalho
leaderboard.type.friends,Amigos
leaderboard.type.global,Global
leaderboard.top100,Os 100 melhores
leaderboard.daily_challenge,Desafio diário <br> Entre os melhores
leaderboard.daily_challenge.time_out,Tempo esgotado!
leaderboard.daily_challenge.lap_attempts,Tentativas de volta
leaderboard.daily_challenge.ends_in,Termina em
leaderboard.daily_challenge.grace_period,Período de carência
leaderboard.daily_challenge.ended_minutes_ago,Terminou em {0:0} minutos.
leaderboard.daily_challenge.ended_hours_ago,Terminou em {0:0} horas.
leaderboard.daily_challenge.ended_days_ago,Terminou em {0:0} dias. 
leaderboard.day,Dia
leaderboard.btn.race_now,Corrida Agora
leaderboard.btn.race_now.tip,Corra para definir o tempo da sua volta com a pista e o carro selecionados
