######################################
# Bloody Rally Show translations file 
# Locale: Spanish
# Author: Google Translate
# Contact: help@kodolinija.com
######################################

######################################
# What should not be modified:
# 1. Anything inside < > brackets - these are special text formatting tags
# 2. Anything inside { } brackets - these are variables that will be replaced
#
# Do not remove {0} and similar variables - it can cause in-game errors!
#
# There is one exception to the rule above. When {0} is a curse adjective or adverb (friggin, etc)
# And it is stated so in the example, if your language cannot combine them well, you can try ommitting {0}
# In this case, but if there is more than one variable ({0}, {1}), you cannot remove {0} and leave {1}!
# You can remove the last variable ({1}) in this case, to keep the variable sequence running from {0}
# (only if {1} is a curse adjective / adverb)
#
# <br> is a line break
#
# It is highly recommended to keep every single key in same exact line as English - copy all the comments and blank lines
######################################

# Characters

# If you change any character names, you have to consistently keep using them
# Across all the translations where they are mentioned. Also in Tips.txt
# For this reason I suggest to keep names of Brace Stone and Nicholas Merryland
# unchanged. Anonymous racer only appears in introduction cutscene.

char.brace.name,Piedra de refuerzo
char.brace.job,Vicepresidente de diversidad
char.brace.job_short,Vicepresidente de Diversidad

char.nic.name,Nicholas Merryland
char.nic.job,Director de Bloody Rally Show
char.nic.job_short,Director

char.anon.name,Corredor anónimo
char.anon.job,Corredor
char.anon.job_short,Corredor

# Generic Terms (keep short)

term.car,Coche
term.track,Pista
term.lap,Regazo
term.lap_percent,Regazo%
term.laps,Niño
# Abbreviate to max 5 characters, or keep "Best"
term.best,Mejor
# Max 10 characters
term.best_lap,Mejor vuelta
# As in person name
term.name,Nombre
term.human,Humano
# Just keep "AI" if your language does not have a very popular abbreviation for Artificial Intelligence
term.ai,AI
term.week,Semana
term.stage,Escenario
term.season,Temporada
term.special,Especial
term.pending,Pendiente
term.points,Puntos
term.drifts,Derivas
term.mode,Modo
term.battle,Batalla
term.car_battle,Batalla de coches
term.time_attack,Tiempo de ataque
term.race,Carrera
term.time_limit,Límite de tiempo
term.time_scale,Escala de tiempo
term.distance,Distancia
term.weapons,Armas
term.time,Hora
term.mission,Misión
# If word "fee" is long in your language, just keep both entry_fee and retry_fee as "fee"
term.entry_fee,Cuota de entrada
term.retry_fee,Tarifa de reintento
term.generating,Generando
term.available,Disponible
term.locked,Bloqueado
term.owned,De propiedad
term.lost,Perdió
# This has to be super short!
term.lvl_to_go,{0} Nvl ir
term.required_level,Req Niv.
# Short for Points (max 3 chars or keep "pts")
term.pts,pts
term.cash,Efectivo
# Short for Experience Points. If your language does not have a well know acronym for this, keep "XP"
term.xp,XP
# Short for position. Keep "Pos" if you can't find a good alternative
term.pos,Enviar
# Noun - number of people killed (keep short, abbreviate if necessary)
term.kills,Mata
# Noun - number of cars fragged (reference to Quake). Keep as "Frags" in your alphabet. Max 5 characters.
term.frags,Frags
term.damage,Dañar
# Short from "damage", Keep "dmg" if you cannot get this to less than 6 characters.
term.dmg,Dmg
term.racer,Corredor
term.ped,Peatonal
term.he,él
term.she,ella
term.mr,señor.
# Ms is between Miss and Mrs
term.ms,Em.
term.resurrect,Resucitar
term.progress,Progreso
term.attempt,Intento
term.tips,Consejos
term.difficulty,Dificultad

# Generic buttons (keep short)

btn.back,atrás
btn.continue,Seguir
btn.apply,Aplicar
btn.close,Cerca
btn.refresh,Actualizar
btn.random,Aleatorio
btn.randomize,Aleatorizar
btn.main_menu,Menú principal
btn.save,Salvar
btn.cancel,Cancelar
btn.delete,Eliminar
btn.edit,Editar
btn.garage,Garaje
btn.generate,Generar
btn.regenerate,Regenerado
btn.buy,Comprar
btn.select,Seleccione
btn.paint,Pintar
btn.switch,Cambiar
btn.confirm,Confirmar
btn.change,Cambio
btn.skip,Omitir
btn.next_page,Siguiente página
btn.prev_page,Pagina anterior
btn.disable_tips,Desactivar consejos

# Keep these very short. On / off can be translated same as yes / no to keep them shorter

btn.on,En
btn.off,Apagado
btn.yes,si
btn.no,No
btn.ok,Okay
btn.all,Todas

# Main Menu

main_menu.btn.campaign,Campaña
main_menu.btn.custom_race,Carrera personalizada
main_menu.btn.editors_mods,Editores y Mods
main_menu.btn.daily_challenge,Reto diario
main_menu.btn.leaderboards,Tablas de clasificación
main_menu.btn.achievements,Logros
main_menu.btn.settings,Configuraciones
main_menu.btn.about,Acerca de
main_menu.btn.quit,Dejar
main_menu.label.whats_new,Qué hay de nuevo

# Main Menu => Campaign

